,allocation_weight,allocation_discrete,ticker,buy_price,buy_investment,actual_allocation
0,0.03984,6.0,AAPL,121.77999877929688,730.6799926757812,0.03654664534830334
1,0.06006,2.0,ADBE,486.4200134277344,972.8400268554688,0.04865883806660739
2,0.01,1.0,CRM,221.27000427246094,221.27000427246094,0.011067329683887253
3,0.01,4.0,INTC,50.470001220703125,201.8800048828125,0.010097494136040608
4,0.02367,2.0,MSFT,214.1999969482422,428.3999938964844,0.021427413917295118
5,0.1,3.0,NVDA,532.3499755859375,1597.0499267578125,0.07988013612225761
6,0.01,3.0,ORCL,60.7599983215332,182.2799949645996,0.009117154427160691
7,0.01,1.0,QCOM,146.2899932861328,146.2899932861328,0.0073170314723620625
8,0.04408,6.0,EA,137.5399932861328,825.2399597167969,0.04127628022846447
9,0.01,,FB,274.19000244140625,,
10,0.01593,,GOOG,1760.06005859375,,
11,0.1,4.0,NFLX,522.4199829101562,2089.679931640625,0.10452016220324249
12,0.01,3.0,TWTR,52.02000045776367,156.06000137329102,0.0078057009640554835
13,0.1,5.0,ZM,395.989990234375,1979.949951171875,0.09903176410767961
14,0.04794,3.0,MA,331.1499938964844,993.4499816894531,0.049689692500165694
15,0.1,9.0,PYPL,220.7899932861328,1987.1099395751953,0.09938988744415671
16,0.05035,5.0,V,207.25,1036.25,0.05183043414599657
17,0.1,1.0,AMZN,3156.969970703125,3156.969970703125,0.15790313550534818
18,0.1,49.0,NIO,40.97999954223633,2008.01997756958,0.10043575122920688
19,0.05814,2.0,TSLA,639.8300170898438,1279.6600341796875,0.06400514849776985
